"price","retail_price","units_sold","rating","uses_ad_boosts","rating_count","rating_five_count","rating_four_count","rating_three_count","rating_two_count","rating_one_count","merchant_rating_count","merchant_rating"
16,14,100,3.76,0,54,26,8,10,1,9,568,4.12852112676056
8,22,20000,3.45,1,6135,2269,1027,1118,644,1077,17752,3.89967327625056
8,43,100,3.57,0,14,5,4,2,0,3,295,3.98983050847458
8,8,5000,4.03,1,579,295,119,87,42,36,23832,4.02043470963411
2.72,3,100,3.1,1,20,6,4,2,2,6,14482,4.00158817842839
3.92,9,10,5,0,1,1,0,0,0,0,65,3.50769230769231
7,6,50000,3.84,0,6742,3172,1352,971,490,757,10194,4.07651559741024
12,11,1000,3.76,0,286,120,56,61,18,31,342,3.6812865497076
11,84,100,3.47,1,15,6,2,3,1,3,330,3.8030303030303
5.78,22,5000,3.6,0,687,287,128,92,68,112,5534,3.99981929887965
5.79,5,1000,3.46,0,613,245,101,81,61,125,9470,3.95681098204857
6,8,100,3.31,1,13,3,4,3,0,3,3515,3.98378378378378
1.91,6,1000,3.45,1,141,49,29,24,14,25,557,4.12387791741472
5.79,42,1000,3.32,0,121,36,24,23,19,19,5083,3.94747196537478
2,2,20000,3.65,1,2457,984,481,459,206,327,55499,4.13888538532226
11,81,1000,3.92,0,426,204,94,62,21,45,39381,4.06632640105635
11,10,10000,3.72,0,2058,840,435,386,158,239,6302,3.95842589654078
5,25,100000,3.83,1,17980,8290,3483,2951,1410,1846,139223,3.93358137664035
9,9,20000,3.82,0,5479,2456,1162,853,431,577,22089,4.08162433790574
7,7,1000,3.67,0,214,87,36,49,17,25,3592,4.06236080178174
11,10,5000,3.84,0,1183,506,274,216,81,106,23609,4.25659706044305
5,6,20000,3.6,0,3552,1437,632,610,358,515,12913,3.9813366374971
11,26,1000,3.38,0,72,27,11,11,8,15,4516,4.23184233835252
7,6,5000,3.67,1,510,213,98,85,45,69,96838,4.2646585018278
5.71,5,1000,3.75,0,678,290,145,104,61,78,80093,4.00669222029391
9,32,1000,4.15,0,567,323,116,58,28,42,9395,4.11005854177754
9,9,1000,4.03,0,216,105,48,39,12,12,4298,4.22940902745463
5.65,5,20000,4.29,0,2996,1781,628,374,104,109,40943,4.01748772683975
